DA_OA	DM_AF	DM_OA	JO_OF	JO_OA	KJ_OF	KJ_OA
-0.013313	-0.012321	-0.010367	-0.015264	-0.011354	-0.010971	-0.010407
-0.013335	-0.015913	-0.008654	-0.012731	-0.010203	-0.011166	-0.01436
-0.013113	-0.01173	-0.01466	-0.012479	-0.017989	-0.010132	-0.010611
-0.013344	-0.010719	-0.010221	-0.005864	-0.011471	-0.01189	-0.008183
-0.013437	-0.012277	-0.012264	-0.010638	-0.012294	-0.011887	-0.011263
-0.013326	-0.01032	-0.013326	-0.008332	-0.013267	-0.007093	-0.005913
-0.013414	-0.014462	-0.010447	-0.008243	-0.01106	-0.008913	-0.009756
-0.013649	-0.008165	-0.008815	-0.010758	-0.010528	-0.011216	-0.011869
-0.013223	-0.010001	-0.009515	-0.013337	-0.007984	-0.012544	-0.013339
-0.013501	-0.015763	-0.014065	-0.013678	-0.010577	-0.012916	-0.011895
-0.013647	-0.008878	-0.013454	-0.012467	-0.011647	-0.005561	-0.013334
-0.013519	-0.008311	-0.006533	-0.013496	-0.012501	-0.01052	-0.007024
-0.013368	-0.005492	-0.01185	-0.015046	-0.01378	-0.012836	-0.008343
-0.014018	-0.012424	-0.010805	-0.012132	-0.010014	-0.011931	-0.014121
-0.013652	-0.007797	-0.01185	-0.009979	-0.009124	-0.01381	-0.01094
-0.01377	-0.009816	-0.007894	-0.013323	-0.006597	-0.010311	-0.009604
-0.013903	-0.007516	-0.010616	-0.01174	-0.013854	-0.015698	-0.011531
-0.014171	-0.012128	-0.016354	-0.007912	-0.009523	-0.012845	-0.007999
-0.014145	-0.013575	-0.009197	-0.009185	-0.014331	-0.009815	-0.010119
-0.014076	-0.010686	-0.01111	-0.015694	-0.009918	-0.01334	-0.01149
-0.013952	-0.012723	-0.014362	-0.009117	-0.011819	-0.009288	-0.013835
-0.014219	-0.011651	-0.009018	-0.008508	-0.010801	-0.009051	-0.010393
-0.01392	-0.010824	-0.007945	-0.013162	-0.004132	-0.009761	-0.005491
-0.014058	-0.013023	-0.006635	-0.011565	-0.008002	-0.009797	-0.013292
-0.014295	-0.008565	-0.017118	-0.010948	-0.009431	-0.013259	-0.014117
-0.014007	-0.011346	-0.013871	-0.011037	-0.011032	-0.013616	-0.013171
-0.014082	-0.010785	-0.010974	-0.010171	-0.006523	-0.010417	-0.011472
-0.014489	-0.014193	-0.009897	-0.01201	-0.011066	-0.011466	-0.011338
-0.014623	-0.008818	-0.008828	-0.012797	-0.012803	-0.008973	-0.008806
-0.014355	-0.011229	-0.014041	-0.009962	-0.008284	-0.01016	-0.013543
-0.014562	-0.010988	-0.009712	-0.011677	-0.008239	-0.018549	-0.012173
-0.014682	-0.014081	-0.01111	-0.009795	-0.009759	-0.008979	-0.011821
-0.014273	-0.011225	-0.012505	-0.011131	-0.018013	-0.011364	-0.007972
-0.014782	-0.007022	-0.0105	-0.010388	-0.01045	-0.009897	-0.011779
-0.014625	-0.009933	-0.013922	-0.0132	-0.011756	-0.012062	-0.018776
-0.014882	-0.010255	-0.009736	-0.014179	-0.012054	-0.009207	-0.009913
-0.01491	-0.014537	-0.007078	-0.009625	-0.014661	-0.008284	-0.011424
-0.014934	-0.013622	-0.014532	-0.013914	-0.009424	-0.011199	-0.008706
-0.014963	-0.006005	-0.014257	-0.012452	-0.009236	-0.010394	-0.010805
-0.014862	-0.013218	-0.01221	-0.01561	-0.010123	-0.015705	-0.013942
-0.014469	-0.007776	-0.01123	-0.002983	-0.008343	-0.006948	-0.013433
-0.014661	-0.009486	-0.007908	-0.013447	-0.011315	-0.011113	-0.013672
-0.014543	-0.013365	-0.012585	-0.009968	-0.00606	-0.011686	-0.011809
-0.014768	-0.016412	-0.009642	-0.011667	-0.015622	-0.011846	-0.011933
-0.014371	-0.011355	-0.01207	-0.003368	-0.011265	-0.012208	-0.014316
-0.014506	-0.008464	-0.010245	-0.014182	-0.011428	-0.009627	-0.011085
-0.014758	-0.009994	-0.012639	-0.01196	-0.009196	-0.005252	-0.011162
-0.014293	-0.009338	-0.011376	-0.014932	-0.013467	-0.009356	-0.007766
-0.014266	-0.00615	-0.007272	-0.008035	-0.012643	-0.009099	-0.009547
-0.014432	-0.00965	-0.014141	-0.010219	-0.007718	-0.010232	-0.00992
-0.014085	-0.008791	-0.012119	-0.014506	-0.011922	-0.01035	-0.010946
-0.013927	-0.011199	-0.009271	-0.010291	-0.012371	-0.009617	-0.012521
-0.014012	-0.012205	-0.008664	-0.007994	-0.011434	-0.013971	-0.008562
-0.014207	-0.012272	-0.010833	-0.011619	-0.008154	-0.009738	-0.007065
-0.013784	-0.007304	-0.008497	-0.012071	-0.009004	-0.010412	-0.007682
-0.01389	-0.012436	-0.009024	-0.012482	-0.009851	-0.011358	-0.010388
-0.014181	-0.012263	-0.009388	-0.009192	-0.011685	-0.012607	-0.012793
-0.013974	-0.008527	-0.012272	-0.010134	-0.015039	-0.014357	-0.011141
-0.013675	-0.01242	-0.012004	-0.01791	-0.008583	-0.013403	-0.009813
-0.013997	-0.004897	-0.009227	-0.003414	-0.016724	-0.01044	-0.013101
-0.01382	-0.011299	-0.010483	-0.015093	-0.011607	-0.010237	-0.012645
-0.013713	-0.009913	-0.00776	-0.011033	-0.014652	-0.009543	-0.00994
-0.013667	-0.012351	-0.013599	-0.018416	-0.011598	-0.012912	-0.008388
-0.013744	-0.011321	-0.013875	-0.00858	-0.009272	-0.009045	-0.014696
-0.013748	-0.005871	-0.010499	-0.01102	-0.014113	-0.008578	-0.01123
-0.013842	-0.01119	-0.006707	-0.010091	-0.010828	-0.012461	-0.011755
-0.013928	-0.008955	-0.011238	-0.010457	-0.010322	-0.011121	-0.012094
-0.013679	-0.010678	-0.014357	-0.010305	-0.005778	-0.015644	-0.012016
-0.013491	-0.008796	-0.010822	-0.013989	-0.013554	-0.010319	-0.009182
-0.013436	-0.016567	-0.007156	-0.007204	-0.013362	-0.011697	-0.014246
-0.01368	-0.009122	-0.011611	-0.010004	-0.012503	-0.019672	-0.009981
-0.013728	-0.013749	-0.011959	-0.011086	-0.01028	-0.012493	-0.009268
-0.013635	-0.007707	-0.010479	-0.01793	-0.008078	-0.016209	-0.009673
-0.013675	-0.010034	-0.011753	-0.008672	-0.011729	-0.009201	-0.01458
-0.013627	-0.013989	-0.010226	-0.010626	-0.012315	-0.005963	-0.013363
-0.013519	-0.008675	-0.016375	-0.010425	-0.012307	-0.011595	-0.011711
-0.013181	-0.014294	-0.012269	-0.015512	-0.006801	-0.009264	-0.013196
-0.013485	-0.009691	-0.005732	-0.006937	-0.013625	-0.013682	-0.009668
-0.013231	-0.015877	-0.016364	-0.009651	-0.013798	-0.006881	-0.010807
-0.012925	-0.014431	-0.012164	-0.008354	-0.00958	-0.012482	-0.013535
-0.013174	-0.013106	-0.012716	-0.011601	-0.007646	-0.012232	-0.009342
-0.013528	-0.010852	-0.009755	-0.007459	-0.008106	-0.011519	-0.009404
-0.013087	-0.01026	-0.003578	-0.016657	-0.008124	-0.01354	-0.011205
-0.013151	-0.011476	-0.018737	-0.014376	-0.011009	-0.01173	-0.011857
-0.013427	-0.007748	-0.01149	-0.008635	-0.005282	-0.012091	-0.009019
-0.013043	-0.011734	-0.007675	-0.011431	-0.008547	-0.013041	-0.012708
-0.013063	-0.008095	-0.010057	-0.014041	-0.012772	-0.010997	-0.007027
-0.013173	-0.012692	-0.010678	-0.01184	-0.011503	-0.013157	-0.008373
-0.013285	-0.008552	-0.011155	-0.008873	-0.012486	-0.011085	-0.011333
-0.013172	-0.0057	-0.005744	-0.011802	-0.010085	-0.012207	-0.013959
-0.013046	-0.010745	-0.011141	-0.011673	-0.012506	-0.014052	-0.0091
-0.013006	-0.011291	-0.013422	-0.010114	-0.009557	-0.010989	-0.008279
-0.01294	-0.01544	-0.009822	-0.006108	-0.016993	-0.010017	-0.011993
-0.012583	-0.009948	-0.012793	-0.01432	-0.010337	-0.003354	-0.01101
-0.012688	-0.011176	-0.011561	-0.007912	-0.010307	-0.01299	-0.008243
-0.012896	-0.012975	-0.007704	-0.016349	-0.011511	-0.012184	-0.008318
-0.012613	-0.015646	-0.012968	-0.007607	-0.008759	-0.010928	-0.0077
-0.012701	-0.012244	-0.005731	-0.012443	-0.012094	-0.012874	-0.006815
-0.013156	-0.008328	-0.012178	-0.010165	-0.010752	-0.011303	-0.008837
-0.013129	-0.014791	-0.012359	-0.012347	-0.010054	-0.013713	-0.011193
-0.012788	-0.01191	-0.00991	-0.00623	-0.013374	-0.010682	-0.009396
-0.012774	-0.014178	-0.012227	-0.015099	-0.014459	-0.007693	-0.01062
-0.012873	-0.008314	-0.010516	-0.008797	-0.015941	-0.011779	-0.01211
-0.012863	-0.010602	-0.012024	-0.013117	-0.008222	-0.012202	-0.010396
-0.012774	-0.013831	-0.008407	-0.009404	-0.007894	-0.015236	-0.012579
-0.012874	-0.010157	-0.005844	-0.015136	-0.010977	-0.008209	-0.013724
-0.01288	-0.009495	-0.013093	-0.009888	-0.020055	-0.011749	-0.006661
-0.012716	-0.006445	-0.017378	-0.013397	-0.00878	-0.014259	-0.009094
-0.012916	-0.010905	-0.010534	-0.008475	-0.008997	-0.010088	-0.013041
-0.012919	-0.011907	-0.011523	-0.008382	-0.008511	-0.014601	-0.009982
-0.012742	-0.010404	-0.007871	-0.013612	-0.011691	-0.012007	-0.009662
-0.012842	-0.010565	-0.014587	-0.007956	-0.012579	-0.008919	-0.00973
-0.012558	-0.006948	-0.010816	-0.010067	-0.008982	-0.012473	-0.01324
-0.012797	-0.010622	-0.010037	-0.004003	-0.012031	-0.010231	-0.010578
-0.012556	-0.014774	-0.010846	-0.013786	-0.011935	-0.010222	-0.013064
-0.012676	-0.013056	-0.013634	-0.008714	-0.010374	-0.012352	-0.010946
-0.012996	-0.006882	-0.015409	-0.009546	-0.011646	-0.015382	-0.004212
-0.012595	-0.011448	-0.01107	-0.01436	-0.010008	-0.011662	-0.011193
-0.012631	-0.009946	-0.007306	-0.014478	-0.012709	-0.005247	-0.011472
-0.012552	-0.012998	-0.01639	-0.011629	-0.011237	-0.006343	-0.013687
-0.012469	-0.013954	-0.012069	-0.010504	-0.009194	-0.006527	-0.008798
-0.012487	-0.008623	-0.012866	-0.01378	-0.007884	-0.013885	-0.004802
-0.012343	-0.011506	-0.009983	-0.01377	-0.012365	-0.012717	-0.009422
-0.012541	-0.008717	-0.008374	-0.01332	-0.01129	-0.007792	-0.01747
-0.012478	-0.014046	-0.014346	-0.009979	-0.006026	-0.01257	-0.010883
-0.012393	-0.009298	-0.010362	-0.015721	-0.00858	-0.010922	-0.00874
-0.012329	-0.008544	-0.012503	-0.012125	-0.013205	-0.012983	-0.008896
-0.012229	-0.006591	-0.014772	-0.007004	-0.010232	-0.010392	-0.010113
-0.011969	-0.01374	-0.010603	-0.002863	-0.011455	-0.01102	-0.013572
-0.011991	-0.010545	-0.010837	-0.013322	-0.007377	-0.011867	-0.011642
-0.012123	-0.010706	-0.007932	-0.010477	-0.013427	-0.007155	-0.011117
-0.012306	-0.013767	-0.013589	-0.014473	-0.010265	-0.014138	-0.008585
-0.011845	-0.00606	-0.013221	-0.011359	-0.011262	-0.010627	-0.009711
-0.01212	-0.013546	-0.011063	-0.015447	-0.007913	-0.011243	-0.012159
-0.011936	-0.008086	-0.007053	-0.014528	-0.012574	-0.011514	-0.01099
-0.011763	-0.012986	-0.007803	-0.011594	-0.012074	-0.011737	-0.013045
-0.011586	-0.011871	-0.013475	-0.007343	-0.007039	-0.011403	-0.008648
-0.011829	-0.014337	-0.010765	-0.015095	-0.008541	-0.010439	-0.005702
-0.011709	-0.011145	-0.008462	-0.010583	-0.005661	-0.00983	-0.011202
-0.011692	-0.009895	-0.015704	-0.012372	-0.013065	-0.010888	-0.014527
-0.011792	-0.009398	-0.009605	-0.009224	-0.015807	-0.007076	-0.008403
-0.011425	-0.015366	-0.011566	-0.011151	-0.012015	-0.011022	-0.009899
-0.011487	-0.014707	-0.008949	-0.006742	-0.009281	-0.009807	-0.011628
-0.01161	-0.007132	-0.011397	-0.008094	-0.011018	-0.009191	-0.006594
-0.011449	-0.009528	-0.014413	-0.011404	-0.007951	-0.009679	-0.008457
-0.011314	-0.008875	-0.006898	-0.016797	-0.0118	-0.007586	-0.01185
-0.011266	-0.013878	-0.012664	-0.008269	-0.016185	-0.015437	-0.008094
-0.011383	-0.010491	-0.01158	-0.008502	-0.009634	-0.008326	-0.012899
-0.011375	-0.008038	-0.012136	-0.009863	-0.013213	-0.009287	-0.016779
-0.01136	-0.008529	-0.008888	-0.013512	-0.013672	-0.011218	-0.014364
-0.011141	-0.012332	-0.00666	-0.004382	-0.011528	-0.005708	-0.009922
-0.011319	-0.011359	-0.014289	-0.011671	-0.010774	-0.011969	-0.012057
-0.011026	-0.007815	-0.009956	-0.011759	-0.007663	-0.007556	-0.008091
-0.010965	-0.011035	-0.008697	-0.011027	-0.017097	-0.006861	-0.009544
-0.010907	-0.009646	-0.013226	-0.009709	-0.013879	-0.010694	-0.012122
-0.011035	-0.012708	-0.008038	-0.009947	-0.011309	-0.014798	-0.010542
-0.010739	-0.007874	-0.010379	-0.010391	-0.008655	-0.010484	-0.007543
-0.011007	-0.011366	-0.010133	-0.010013	-0.01137	-0.010214	-0.010985
-0.010914	-0.011419	-0.012889	-0.01444	-0.01432	-0.006232	-0.010834
-0.010924	-0.009912	-0.01039	-0.014848	-0.007321	-0.01184	-0.011512
-0.010633	-0.012231	-0.010725	-0.01264	-0.00845	-0.007895	-0.00819
-0.010497	-0.005673	-0.01308	-0.00539	-0.009631	-0.011981	-0.008178
-0.0105	-0.011687	-0.006396	-0.007948	-0.013346	-0.007093	-0.013869
-0.010502	-0.00572	-0.012479	-0.010098	-0.007728	-0.008564	-0.015036
-0.01015	-0.013279	-0.009373	-0.014254	-0.011916	-0.015488	-0.008224
-0.01045	-0.00913	-0.009113	-0.00796	-0.013841	-0.010283	-0.011325
-0.010552	-0.011804	-0.010088	-0.014503	-0.012589	-0.008276	-0.010956
-0.010806	-0.009768	-0.013814	-0.009311	-0.010243	-0.0145	-0.008114
-0.010599	-0.015129	-0.017925	-0.009427	-0.010623	-0.011994	-0.017277
-0.010682	-0.014197	-0.008548	-0.008837	-0.011611	-0.011923	-0.012365
-0.010483	-0.008177	-0.011447	-0.013513	-0.007181	-0.012299	-0.007057
-0.0108	-0.010091	-0.013145	-0.005312	-0.010146	-0.00676	-0.011111
-0.010862	-0.010804	-0.008991	-0.014332	-0.008865	-0.010933	-0.010489
-0.011016	-0.015413	-0.010902	-0.013008	-0.009137	-0.013026	-0.012311
-0.011057	-0.008748	-0.01193	-0.005232	-0.008409	-0.012644	-0.013216
-0.011137	-0.010556	-0.007816	-0.008321	-0.013705	-0.012726	-0.015272
-0.011237	-0.010475	-0.010915	-0.010167	-0.013375	-0.009497	-0.006725
-0.011356	-0.013623	-0.005129	-0.006787	-0.00847	-0.01359	-0.013251
-0.011059	-0.010387	-0.011187	-0.008619	-0.013473	-0.013655	-0.012499
-0.011073	-0.010088	-0.012748	-0.012457	-0.009134	-0.012992	-0.015695
-0.011361	-0.01129	-0.006776	-0.01624	-0.011806	-0.010022	-0.013495
-0.011512	-0.008844	-0.011195	-0.007295	-0.009595	-0.009583	-0.010303
-0.011347	-0.020312	-0.010279	-0.015077	-0.011909	-0.013561	-0.011965
-0.011667	-0.009306	-0.013773	-0.010478	-0.010028	-0.015965	-0.010623
-0.011602	-0.006782	-0.017819	-0.012227	-0.016888	-0.010062	-0.012951
-0.011758	-0.00653	-0.006892	-0.005742	-0.010423	-0.010983	-0.011698
-0.011615	-0.011373	-0.008656	-0.013333	-0.006899	-0.008398	-0.008821
-0.011656	-0.008852	-0.013633	-0.011033	-0.011911	-0.014055	-0.010785
-0.01169	-0.00803	-0.012424	-0.007042	-0.009663	-0.007715	-0.012203
-0.011691	-0.014513	-0.008574	-0.009654	-0.00839	-0.010477	-0.014054
-0.011846	-0.010745	-0.008343	-0.01362	-0.007874	-0.012233	-0.009705
-0.011703	-0.01242	-0.013911	-0.01079	-0.011746	-0.010282	-0.008294
-0.011649	-0.007675	-0.009128	-0.008605	-0.009247	-0.008907	-0.00769
-0.011714	-0.011979	-0.01177	-0.008449	-0.013586	-0.015291	-0.008048
-0.011794	-0.011909	-0.012548	-0.009797	-0.011519	-0.01078	-0.009897
-0.011883	-0.012757	-0.007952	-0.010166	-0.008493	-0.007498	-0.017877
-0.011837	-0.009812	-0.007887	-0.010212	-0.011885	-0.013907	-0.01252
-0.011756	-0.009579	-0.008113	-0.015249	-0.013523	-0.009945	-0.007716
-0.01192	-0.012813	-0.015299	-0.01348	-0.013246	-0.015207	-0.012359
-0.011692	-0.013393	-0.012	-0.007766	-0.011957	-0.01083	-0.009944
-0.011438	-0.006934	-0.014686	-0.012064	-0.011365	-0.007999	-0.011978
-0.011619	-0.011034	-0.008232	-0.008662	-0.013196	-0.010776	-0.011203
-0.011654	-0.013466	-0.009937	-0.009993	-0.01011	-0.00717	-0.012685
-0.011785	-0.010453	-0.012798	-0.012231	-0.00969	-0.011105	-0.00941
-0.011728	-0.009564	-0.006647	-0.010353	-0.005858	-0.013571	-0.010712
-0.011841	-0.009525	-0.01048	-0.01463	-0.014532	-0.009072	-0.009693
-0.011681	-0.011008	-0.012118	-0.010696	-0.011091	-0.014676	-0.012733
-0.011886	-0.013315	-0.011306	-0.017578	-0.011452	-0.011671	-0.013995
-0.011908	-0.011754	-0.015489	-0.014427	-0.00943	-0.008998	-0.005498
-0.011977	-0.012255	-0.006459	-0.008883	-0.014468	-0.012325	-0.00745
-0.011992	-0.013008	-0.014118	-0.010023	-0.018	-0.011216	-0.010839
-0.012388	-0.012697	-0.016382	-0.012196	-0.008922	-0.00732	-0.011185
-0.012401	-0.009925	-0.013023	-0.008194	-0.011529	-0.015137	-0.01257
-0.012348	-0.010705	-0.011014	-0.01394	-0.009863	-0.011783	-0.014
-0.012647	-0.005957	-0.009796	-0.009039	-0.014235	-0.012708	-0.010233
-0.012652	-0.012278	-0.009609	-0.007201	-0.00767	-0.008506	-0.008677
-0.01262	-0.011658	-0.0143	-0.007354	-0.007015	-0.010841	-0.011005
-0.012634	-0.010314	-0.006845	-0.012524	-0.010465	-0.014819	-0.010164
-0.012768	-0.011681	-0.014527	-0.00741	-0.009678	-0.010475	-0.010354
-0.012824	-0.011245	-0.011172	-0.011546	-0.016365	-0.012268	-0.009148
-0.01278	-0.009044	-0.012923	-0.014103	-0.008845	-0.012333	-0.011706
-0.013116	-0.011587	-0.010985	-0.011052	-0.008524	-0.006439	-0.008485
-0.01311	-0.011527	-0.010314	-0.012065	-0.008919	-0.017236	-0.011351
-0.013381	-0.007422	-0.004271	-0.009787	-0.015618	-0.010549	-0.013724
-0.0133	-0.012521	-0.010257	-0.013367	-0.010388	-0.008345	-0.009077
-0.013212	-0.007978	-0.011262	-0.004622	-0.008527	-0.012005	-0.006625
-0.013329	-0.010416	-0.011949	-0.012454	-0.011454	-0.010685	-0.010555
-0.013209	-0.011375	-0.006367	-0.011268	-0.013023	-0.015162	-0.012472
-0.013585	-0.014797	-0.013324	-0.009308	-0.01383	-0.010094	-0.010409
-0.013417	-0.012338	-0.008471	-0.011311	-0.008541	-0.006337	-0.013378
-0.013501	-0.011465	-0.009474	-0.009449	-0.009937	-0.009689	-0.006092
-0.013917	-0.009952	-0.013807	-0.009914	-0.008626	-0.010003	-0.009267
-0.013647	-0.016616	-0.007283	-0.014899	-0.008052	-0.014665	-0.014597
-0.013601	-0.01175	-0.010531	-0.012432	-0.007025	-0.014808	-0.011292
-0.013748	-0.006881	-0.008229	-0.014295	-0.005289	-0.004651	-0.003584
-0.01394	-0.013514	-0.012992	-0.007559	-0.012079	-0.011363	-0.01123
-0.013674	-0.008842	-0.011245	-0.012699	-0.014114	-0.011842	-0.011478
-0.013547	-0.015277	-0.009633	-0.011729	-0.01256	-0.01093	-0.011484
-0.014473	-0.010584	-0.00976	-0.010752	-0.007758	-0.00917	-0.009867
-0.014377	-0.014253	-0.008708	-0.013903	-0.011991	-0.009668	-0.009191
-0.01414	-0.013807	-0.014059	-0.01281	-0.008676	-0.011248	-0.009272
-0.014143	-0.010749	-0.008849	-0.012181	-0.012779	-0.006819	-0.012728
-0.014348	-0.011985	-0.010892	-0.009588	-0.013183	-0.011984	-0.013459
-0.014001	-0.007941	-0.00997	-0.015095	-0.014241	-0.010147	-0.004181
-0.01426	-0.019578	-0.010571	-0.009991	-0.009507	-0.005773	-0.012743
-0.014466	-0.011074	-0.010093	-0.008925	-0.010118	-0.014175	-0.012322
-0.014613	-0.014336	-0.00767	-0.013198	-0.014921	-0.011149	-0.011471
-0.014416	-0.007227	-0.011231	-0.016114	-0.007779	-0.008064	-0.008442
-0.01451	-0.011432	-0.008688	-0.006212	-0.016133	-0.008152	-0.010286
-0.014456	-0.012802	-0.01092	-0.013359	-0.012019	-0.00501	-0.010083
-0.014325	-0.010359	-0.012484	-0.009434	-0.01186	-0.014651	-0.00972
-0.015374	-0.01206	-0.01003	-0.009623	-0.010179	-0.015186	-0.011038
-0.014808	-0.007256	-0.009817	-0.007409	-0.010487	-0.012849	-0.01184
-0.01466	-0.011788	-0.009955	-0.014171	-0.011396	-0.010271	-0.009
-0.014643	-0.010382	-0.011075	-0.008264	-0.008843	-0.007235	-0.009409
-0.015045	-0.010439	-0.011837	-0.00891	-0.012319	-0.0095	-0.010997
-0.014918	-0.013718	-0.008079	-0.013632	-0.005925	-0.011992	-0.012196
-0.014903	-0.010468	-0.012258	-0.014689	-0.012156	-0.008359	-0.007146
-0.014858	-0.011548	-0.011437	-0.007459	-0.005809	-0.010942	-0.010912
-0.014718	-0.012162	-0.011269	-0.020165	-0.009026	-0.004212	-0.010883
-0.014797	-0.013783	-0.010411	-0.010129	-0.010356	-0.009776	-0.010076
-0.01482	-0.005018	-0.008617	-0.009867	-0.01167	-0.014631	-0.01627
-0.015195	-0.016056	-0.012969	-0.013439	-0.012293	-0.01226	-0.015879
-0.014867	-0.007776	-0.007223	-0.004446	-0.00787	-0.010771	-0.008343
-0.015061	-0.014309	-0.00867	-0.012103	-0.012853	-0.01066	-0.007437
-0.015224	-0.011147	-0.004257	-0.008962	-0.013454	-0.010824	-0.014249
-0.01493	-0.011547	-0.009069	-0.014051	-0.013302	-0.012175	-0.013113
-0.014633	-0.01204	-0.010227	-0.005946	-0.005351	-0.007089	-0.009167
-0.015086	-0.009965	-0.009769	-0.010477	-0.009039	-0.009303	-0.009776
-0.014991	-0.008811	-0.008391	-0.014002	-0.011936	-0.008535	-0.011475
-0.014752	-0.012594	-0.011015	-0.010566	-0.01215	-0.008403	-0.009689
-0.015142	-0.01507	-0.012173	-0.008005	-0.009509	-0.01042	-0.015802
-0.015207	-0.010817	-0.008405	-0.010755	-0.009082	-0.012944	-0.011587
-0.014946	-0.009446	-0.010989	-0.011519	-0.005557	-0.010693	-0.008085
-0.01485	-0.009745	-0.010035	-0.009907	-0.013636	-0.010837	-0.008728
-0.014944	-0.012911	-0.007887	-0.009772	-0.017673	-0.00969	-0.010914
-0.014733	-0.012162	-0.011217	-0.007249	-0.007787	-0.014294	-0.015012
-0.014795	-0.009117	-0.007232	-0.01502	-0.012401	-0.012127	-0.011473
-0.014831	-0.012008	-0.014236	-0.00152	-0.013299	-0.012131	-0.009509
-0.014904	-0.013807	-0.009506	-0.016249	-0.010864	-0.012029	-0.005763
-0.014835	-0.014625	-0.011832	-0.009929	-0.009984	-0.007386	-0.011944
-0.014936	-0.00947	-0.00426	-0.013419	-0.011965	-0.013503	-0.014142
-0.015137	-0.010801	-0.007869	-0.00874	-0.013734	-0.009724	-0.013676
-0.014921	-0.013144	-0.013781	-0.010462	-0.008763	-0.008318	-0.009329
-0.014846	-0.012953	-0.009711	-0.004571	-0.013613	-0.009696	-0.005939
-0.014966	-0.011071	-0.00871	-0.015501	-0.006892	-0.007275	-0.012824
-0.014896	-0.010812	-0.012504	-0.007806	-0.012257	-0.014616	-0.010305
-0.014817	-0.012229	-0.009772	-0.009914	-0.011308	-0.012934	-0.006339
-0.014756	-0.006659	-0.009132	-0.010826	-0.013307	-0.009973	-0.003849
-0.014864	-0.011202	-0.009781	-0.014161	-0.007782	-0.016952	-0.00956
-0.014985	-0.008554	-0.011935	-0.010038	-0.012966	-0.006736	-0.011685
-0.014657	-0.011772	-0.008565	-0.012864	-0.011696	-0.011958	-0.013336
-0.014681	-0.010648	-0.009189	-0.012019	-0.012748	-0.015542	-0.012978
-0.014681	-0.010809	-0.010986	-0.014755	-0.010806	-0.011969	-0.009656
-0.014409	-0.013225	-0.009851	-0.00674	-0.01203	-0.013628	-0.012117
-0.014591	-0.008935	-0.01462	-0.01187	-0.010475	-0.012571	-0.011297
-0.014739	-0.01875	-0.006348	-0.011698	-0.010281	-0.012604	-0.010834
-0.014477	-0.002572	-0.013883	-0.013362	-0.014179	-0.01364	-0.010971
-0.014781	-0.013261	-0.011797	-0.010619	-0.003882	-0.010483	-0.014222
-0.014816	-0.010634	-0.015621	-0.010676	-0.013516	-0.013544	-0.012959
-0.014745	-0.010424	-0.010222	-0.013181	-0.008814	-0.010279	-0.010164
-0.014781	-0.007966	-0.008054	-0.01059	-0.01372	-0.007	-0.011474
-0.014583	-0.011954	-0.014145	-0.012026	-0.011162	-0.012725	-0.01036
-0.014658	-0.014306	-0.00504	-0.011177	-0.010091	-0.00854	-0.011648
-0.014493	-0.008089	-0.009702	-0.009703	-0.016126	-0.014946	-0.011973
-0.014396	-0.01032	-0.008969	-0.011274	-0.011609	-0.009052	-0.011753
-0.014598	-0.008364	-0.013318	-0.014705	-0.012767	-0.011426	-0.006473
-0.014477	-0.01348	-0.010401	-0.009256	-0.008117	-0.012617	-0.010692
-0.014672	-0.010651	-0.007886	-0.008715	-0.008725	-0.010369	-0.011128
-0.014625	-0.01023	-0.006028	-0.008351	-0.009348	-0.012311	-0.011791
-0.013953	-0.013672	-0.006866	-0.015513	-0.015212	-0.00899	-0.010657
-0.014084	-0.012006	-0.017447	-0.004107	-0.008626	-0.007864	-0.008448
-0.014236	-0.012144	-0.007209	-0.012169	-0.005456	-0.013919	-0.012173
-0.013999	-0.008333	-0.014152	-0.010336	-0.013387	-0.012173	-0.009495
-0.013906	-0.011739	-0.013885	-0.01352	-0.008436	-0.00963	-0.01351
-0.013835	-0.012533	-0.00989	-0.005156	-0.014217	-0.008333	-0.012454
-0.013981	-0.010171	-0.008576	-0.015344	-0.007358	-0.007129	-0.00919
-0.013853	-0.010284	-0.009345	-0.011251	-0.013418	-0.01202	-0.013741
-0.013805	-0.013556	-0.0148	-0.012342	-0.012509	-0.013767	-0.014795
-0.013601	-0.009275	-0.011996	-0.012646	-0.011012	-0.014217	-0.008944
-0.013441	-0.0096	-0.013789	-0.012173	-0.009564	-0.009734	-0.005822
-0.013506	-0.009536	-0.011436	-0.008855	-0.007461	-0.008268	-0.01117
-0.013216	-0.008973	-0.011879	-0.00714	-0.013228	-0.014425	-0.012233
-0.012939	-0.009922	-0.014131	-0.011315	-0.013158	-0.011202	-0.010799
-0.01299	-0.005809	-0.011565	-0.014156	-0.007321	-0.011641	-0.011583
-0.012628	-0.010163	-0.015202	-0.010207	-0.00639	-0.012709	-0.009617
-0.012873	-0.012913	-0.007119	-0.010293	-0.012556	-0.006567	-0.006047
-0.012928	-0.012819	-0.013248	-0.011397	-0.013944	-0.011063	-0.013631
-0.012543	-0.009875	-0.011681	-0.009343	-0.010028	-0.01009	-0.013141
-0.012293	-0.015873	-0.010878	-0.010273	-0.009653	-0.010654	-0.013917
-0.012103	-0.012374	-0.00835	-0.012127	-0.008279	-0.010319	-0.011035
-0.011942	-0.009085	-0.009015	-0.01479	-0.01513	-0.007454	-0.006563
